"PlantKey","MaterialKey","PurchaseOrderQuantity","ActualArrivalDateYard","DaysTooLate"
4,1,84,2024-03-30,0
4,1,79,2022-01-07,0
4,1,81,2022-02-13,0
4,1,69,2023-05-31,0
4,1,74,2023-04-21,0
4,1,78,2023-07-13,0
4,1,91,2022-02-01,0
4,1,71,2024-04-05,0
4,1,78,2024-09-26,0
4,1,70,2022-03-05,0
4,1,63,2023-07-05,0
4,1,82,2023-03-11,9
4,1,79,2022-08-28,0
4,1,71,2022-10-30,0
4,1,84,2024-03-14,0
4,1,70,2023-07-30,0
4,1,84,2023-09-13,0
4,1,85,2023-01-16,0
4,1,77,2022-11-18,0
4,1,72,2022-09-28,0
4,1,76,2024-09-28,0
4,1,72,2024-05-05,0
4,1,83,2024-04-11,0
4,1,85,2022-10-29,0
4,1,73,2023-07-26,0
4,1,72,2022-12-14,0
4,1,75,2022-07-08,0
4,1,68,2022-03-03,0
4,1,68,2023-04-20,0
4,1,85,2024-03-20,0
4,1,81,2022-04-20,0
4,1,75,2022-09-03,0
4,1,85,2022-08-03,0
4,1,61,2024-01-03,0
4,1,82,2024-03-28,0
4,1,85,2023-08-19,0
4,1,76,2023-01-02,0
4,1,78,2022-01-13,0
4,1,83,2023-07-18,0
4,1,73,2022-02-26,2
4,1,65,2023-09-15,0
4,1,74,2024-08-30,0
4,1,74,2022-04-03,0
4,1,79,2022-03-23,0
4,1,76,2022-07-31,0
4,1,72,2024-10-09,0
4,1,88,2024-04-02,7
4,1,86,2022-06-12,0
4,1,84,2022-12-12,0
4,1,82,2022-07-14,0
4,1,75,2022-04-05,10
4,1,73,2022-05-14,0
4,1,83,2024-11-17,0
4,1,74,2022-03-18,0
4,1,78,2022-03-07,0
4,1,78,2023-01-21,0
4,1,75,2024-01-29,0
4,1,84,2022-11-25,0
4,1,69,2024-05-22,9
4,1,87,2023-10-18,3
4,1,92,2022-03-18,0
4,1,66,2024-12-10,0
4,1,72,2024-02-15,0
4,1,78,2024-06-18,0
4,1,81,2023-04-21,0
4,1,66,2024-01-16,13
4,1,76,2024-01-05,0
4,1,72,2024-08-31,0
4,1,86,2023-10-12,0
4,1,83,2022-09-29,0
4,1,81,2024-11-04,3
4,1,81,2022-12-28,0
4,1,77,2022-03-12,0
4,1,75,2024-09-03,0
4,1,74,2024-06-01,0
4,1,83,2023-05-14,0
4,1,77,2023-10-11,0
4,1,85,2023-07-06,0
4,1,75,2022-06-22,0
4,1,73,2023-05-22,0
4,1,76,2023-07-06,0
4,1,62,2022-04-02,12
4,1,77,2024-07-19,0
4,1,69,2022-06-08,0
4,1,84,2022-01-13,0
4,1,84,2024-05-22,0
4,1,78,2024-09-07,0
4,1,88,2024-02-03,0
4,1,78,2024-03-07,0
4,1,70,2023-05-22,0
4,1,77,2023-04-11,0
4,1,81,2023-05-29,0
4,1,83,2024-02-24,0
4,1,82,2023-10-04,2
4,1,79,2022-03-22,4
4,1,77,2024-05-19,0
4,1,75,2022-10-20,0
4,1,81,2023-07-23,3
4,1,76,2024-03-05,5
4,1,73,2023-09-09,0
4,1,72,2024-06-17,0
4,1,79,2022-12-13,0
4,1,78,2024-05-30,0
4,1,78,2022-07-06,0
4,1,76,2024-04-27,0
4,1,70,2023-05-26,0
4,1,84,2024-06-14,0
4,1,71,2022-09-19,0
4,1,79,2022-04-23,0
4,1,77,2024-11-09,0
4,1,71,2024-05-29,0
4,1,69,2024-07-16,0
4,1,81,2023-03-07,0
4,1,78,2022-06-15,3
4,1,77,2024-09-12,0
4,1,70,2022-11-20,1
4,1,76,2024-07-28,0
4,1,85,2022-01-04,0
4,1,82,2024-07-06,0
4,1,82,2024-01-27,0
4,1,79,2023-11-10,0
4,1,80,2022-01-13,0
4,1,74,2024-04-23,0
4,1,70,2023-11-27,0
4,1,73,2024-10-22,0
4,1,76,2022-03-06,0
4,1,78,2023-01-07,8
4,1,80,2024-08-29,0
4,1,82,2023-04-29,0
4,1,77,2023-04-09,0
4,1,77,2023-07-18,0
4,1,76,2024-09-19,0
4,1,75,2022-04-03,0
4,1,75,2024-10-17,0
4,1,79,2023-01-30,0
4,1,83,2023-03-20,0
4,1,82,2022-02-23,0
4,1,77,2022-06-08,0
4,1,78,2023-03-02,0
4,1,88,2024-02-05,0
4,1,74,2024-01-17,0
4,1,79,2024-04-04,0
4,1,84,2022-06-20,0
4,1,70,2023-04-27,0
4,1,79,2024-01-14,0
4,1,85,2024-11-20,0
4,1,72,2023-11-28,0
4,1,85,2024-04-29,7
4,1,72,2022-03-09,0
4,1,70,2024-02-06,0
4,1,88,2024-07-30,0
4,1,71,2023-10-28,0
4,1,75,2024-05-01,0
4,1,71,2022-02-15,0
4,1,80,2024-07-03,0
4,1,76,2024-04-07,0
4,1,85,2024-03-12,0
4,1,82,2022-03-12,0
4,1,81,2022-10-20,0
4,1,85,2023-07-18,0
4,1,78,2022-01-16,0
4,1,70,2024-10-20,10
4,1,75,2022-06-02,0
4,1,91,2023-08-26,0
4,1,89,2024-01-28,0
4,1,71,2024-06-21,0
4,1,78,2024-06-21,0
4,1,79,2023-10-23,0
4,1,61,2023-11-07,0
4,1,83,2022-06-28,0
4,1,82,2023-10-09,1
4,1,85,2022-10-19,0
4,1,79,2022-08-12,0
4,1,74,2022-01-19,11
4,1,70,2023-03-15,0
4,1,72,2024-09-15,6
4,1,67,2023-02-01,0
4,1,74,2024-02-28,0
4,1,77,2022-04-26,0
4,1,80,2024-07-03,0
4,1,78,2024-10-16,0
4,1,78,2023-02-20,0
4,1,80,2022-03-27,0
4,1,70,2022-03-29,0
4,1,72,2024-10-16,4
4,1,80,2022-10-05,0
4,1,70,2022-10-22,0
4,1,81,2022-04-18,0
4,1,78,2023-06-27,0
4,1,68,2023-01-30,0
4,1,81,2024-01-23,0
4,1,80,2024-11-16,9
4,1,72,2024-07-30,6
